Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Start_Vertiport,End_Vertiport,PassengerFlow,Flights,AirKM,LoadFactor,ModelStatus
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,716,645,3.0,1.0,6.119583921765259,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,782,645,1.0,1.0,6.648538664474961,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,717,449,1.0,1.0,7.654544453228288,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,449,713,1.0,1.0,6.0045260388064,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,449,782,12.0,3.0,8.307228591621705,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,645,716,3.0,1.0,6.119583921765259,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,645,782,8.0,2.0,6.648538664474961,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,584,645,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T12,716,645,1.0,1.0,6.119583921765259,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T13,449,717,1.0,1.0,7.654544453228288,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T13,449,782,14.0,4.0,8.307228591621705,0.875,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T13,645,716,1.0,1.0,6.119583921765259,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T13,645,782,12.0,3.0,6.648538664474961,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T13,584,645,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,449,717,2.0,1.0,7.654544453228288,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,449,782,21.0,6.0,8.307228591621705,0.875,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,645,584,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,645,716,6.0,2.0,6.119583921765259,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,645,782,10.0,3.0,6.648538664474961,0.8333333333333334,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,716,645,2.0,1.0,6.119583921765259,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,782,449,2.0,1.0,8.307228591621705,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T14,782,645,1.0,1.0,6.648538664474961,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,717,449,4.0,1.0,7.654544453228288,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,449,717,2.0,1.0,7.654544453228288,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,449,782,9.0,3.0,8.307228591621705,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,645,584,2.0,1.0,6.120633980923698,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,645,716,2.0,1.0,6.119583921765259,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,645,782,6.0,2.0,6.648538664474961,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T15,782,645,1.0,1.0,6.648538664474961,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,717,449,3.0,1.0,7.654544453228288,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,449,780,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,449,782,22.0,6.0,8.307228591621705,0.9166666666666666,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,645,584,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,645,716,1.0,1.0,6.119583921765259,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,645,782,5.0,2.0,6.648538664474961,0.625,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,584,645,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,716,645,2.0,1.0,6.119583921765259,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T16,782,645,1.0,1.0,6.648538664474961,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T17,449,717,1.0,1.0,7.654544453228288,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T17,449,780,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T17,449,782,10.0,3.0,8.307228591621705,0.8333333333333334,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T17,780,449,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
